Col37,Col38
0,4095,683
1,4095,680
2,4095,681
3,4095,681
4,4095,680
5,4095,682
6,4095,682
7,4095,683
8,4095,681
9,4095,681
10,4095,682
11,4095,681
12,4095,680
13,4095,682
14,4095,682
15,4095,682
16,4095,680
17,4095,680
18,4095,681
19,4095,681
20,4095,682
21,4095,682
22,4095,682
23,4095,680
24,4095,680
25,4095,681
26,4095,679
27,4095,684
28,4095,683
29,4095,682
30,4095,680
31,4095,679
32,4095,681
33,4095,680
34,4095,682
35,4095,682
36,4095,682
37,4095,680
38,4095,679
39,4095,681
40,4095,681
41,4095,683
42,4095,681
43,4095,682
44,4095,680
45,4095,680
46,4095,681
47,4095,680
48,4095,682
49,4095,682
50,4095,683
51,4095,681
52,4095,680
53,4095,681
54,4095,680
55,4095,683
56,4095,681
57,4095,683
58,4095,680
59,4095,681
60,4095,681
61,4095,679
62,4095,682
63,4095,682
64,4095,683
65,4095,680
66,4095,680
67,4095,681
68,4095,679
69,4095,683
70,4095,681
71,4095,682
72,4095,679
73,4095,680
74,4095,681
75,4095,680
76,4095,682
77,4095,682
78,4095,683
79,4095,680
80,4095,680
81,4095,681
82,4095,680
83,4095,682
84,4095,681
85,4095,683
86,4095,680
87,4095,680
88,4095,681
89,4095,679
90,4095,683
91,4095,683
92,4095,682
93,4095,679
94,4095,680
95,4095,681
96,4095,679
97,4095,682
98,4095,683
99,4095,682
100,4095,680
101,4095,680
102,4095,680
103,4095,680
104,4095,682
105,4095,682
106,4095,682
107,4095,680
108,4095,680
109,4095,681
110,4095,680
111,4095,682
112,4095,682
113,4095,682
114,4095,679
115,4095,680
116,4095,681
117,4095,680
118,4095,682
119,4095,682
120,4095,682
121,4095,679
122,4095,680
123,4095,681
124,4095,680
125,4095,683
126,4095,682
127,4095,682
128,4095,679
129,4095,680
130,4095,681
131,4095,680
132,4095,682
133,4095,683
134,4095,682
135,4095,680
136,4095,680
137,4095,681
138,4095,679
139,4095,682
140,4095,681
141,4095,680
142,4095,682
143,4095,682
144,4095,683
145,4095,680
146,4095,680
147,4095,681
148,4095,679
149,4095,683
