Col37,Col38
0,0,990
1,0,1643
2,509,1471
3,0,1048
4,198,1795
5,0,896
6,0,1091
7,539,1651
8,0,903
9,0,1531
10,516,1600
11,0,1111
12,0,2064
13,465,1673
14,0,1350
15,0,2171
16,336,1893
17,0,1691
18,0,2170
19,323,1719
20,0,1993
21,0,2183
22,0,1404
23,0,2133
24,425,1698
25,0,1721
26,53,2194
27,0,1164
28,0,2050
29,389,1312
30,0,1401
31,397,2002
32,0,1017
33,0,1658
34,99,990
35,0,1003
36,395,1755
37,0,894
38,0,1227
39,502,1802
40,0,985
41,0,1866
42,453,1810
43,0,1188
44,0,2095
45,278,2022
46,0,1478
47,0,2146
48,289,1923
49,0,1816
50,0,2176
51,258,1521
52,0,2064
53,215,2077
54,0,1511
55,0,2182
56,72,1142
57,0,1856
58,429,1909
59,0,1237
60,62,2170
61,0,969
62,0,1490
63,516,1469
64,0,971
65,149,1666
66,0,892
67,0,1034
68,405,1913
69,0,923
70,0,1522
71,413,1942
72,0,1074
73,0,1937
74,207,2109
75,0,1316
76,0,2110
77,200,2067
78,0,1608
79,0,2145
80,319,1825
81,0,1933
82,0,2188
83,0,1330
84,0,2121
85,445,1642
86,0,1628
87,90,2190
88,0,1114
89,0,2017
90,140,1057
91,0,1334
92,414,1968
93,0,962
94,0,1475
95,174,1029
96,0,946
97,238,1813
98,0,896
99,0,1205
100,328,2059
101,0,1010
102,0,1709
103,132,2166
104,128,1281
105,0,2003
106,106,2148
107,0,1431
108,0,2127
109,187,2054
110,0,1733
111,0,2172
112,305,1519
113,0,2019
114,244,2074
115,0,1425
116,0,2203
117,12,1077
118,0,1773
119,526,1635
120,0,1169
121,82,2128
122,0,953
123,0,1304
124,518,1444
125,0,915
126,59,1564
127,32,944
128,0,1016
129,212,2050
130,52,1006
131,0,1479
132,70,2201
133,289,1343
134,0,1822
135,33,2192
136,189,1424
137,0,2069
138,49,2157
139,0,1519
140,0,2139
141,318,1881
142,0,1853
143,0,2196
144,0,1251
145,0,2112
146,461,1565
147,0,1539
148,272,2106
149,0,1067
150,0,1950
151,120,1033
152,0,1192
153,466,1811
154,0,909
155,0,1307
